agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
USGS	07374000	55	2007-05-14 12:47:00	CDT	Yes	CPF/LBS	USGS	24.72	598000	Good				NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	598000	3170	151000	3.96	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	56	2007-06-11 13:31:00	CDT	Yes	CPF/MLD	USGS	15.27	395000	Good	0.00	0.50		NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	395000	3080	122000	3.25	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	57	2007-06-27 12:18:00	CDT	Yes	CPF/LBS	USGS	15.25	405000	Good				NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	405000	3080	126000	3.22	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	58	2007-07-26 15:52:00	CDT	Yes	CPF/MLD	USGS	18.76	490000	Good	0.00	0.50		NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	490000	3120	134000	3.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	59	2007-08-13 14:38:00	CDT	Yes	CPF/MLD	USGS	10.21	299000	Good	0.00	0.50		NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	299000	2980	107000	2.81	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	60	2007-08-29 14:33:00	CDT	Yes	CPF/MLD	USGS	7.80	246000	Good				NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	246000	2980	97100	2.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	61	2007-11-07 14:26:00	CST	Yes	CPF/MLD	USGS	9.86	293000	Good	0.00	0.50		NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	293000	2990	105000	2.79	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	62	2007-12-13 09:23:00	CST	Yes	CPF/MLD	USGS	7.80	238000	Good				NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	238000	3000	98200	2.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	63	2008-01-17 14:17:00	CST	Yes	JRF/MLD	USGS	14.47	398000	Good	0.00	0.60		NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	398000	3050	118000	3.38	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	64	2008-01-29 09:28:00	CST	Yes	CPF/MLD	USGS	17.87	462000	Good	0.00	0.50		NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	462000	3070	128000	3.60	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	65	2008-02-11 13:34:00	CST	Yes	CPF/MLD	USGS	15.85	434000	Good	0.00	0.70		NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	434000	3070	123000	3.54	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	66	2008-02-27 08:49:00	CST	Yes	CPF/MLD	USGS	30.63	852000	Good	0.00	0.60		NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	852000	3220	168000	5.06	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	67	2008-03-10 13:30:00	CDT	Yes	CPF/MLD	USGS	28.26	770000	Good				NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	770000	3220	163000	4.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	68	2008-03-24 11:42:00	CDT	Yes	TEB/CLJ	USGS	32.00	928000	Good	0.00	0.80		NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	928000	3260	183000	5.06	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	69	2008-03-27 13:58:00	CDT	Yes	TEB/KJG	USGS	33.50	931000	Good	0.00	0.50		NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	931000	3290	180000	5.17	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	70	2008-04-01 12:06:00	CDT	Yes	TEB/MLD	USGS	35.79	1030000	Good	0.00	0.60	Clear	NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	1030000	3300	187000	5.50	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	71	2008-04-04 10:20:00	CDT	Yes	TEB/PAE	USGS	37.42	1110000	Good			Clear	NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	1110000	3310	198000	5.59	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	72	2008-04-07 13:27:00	CDT	Yes	MLD/CPF	USGS	39.48	1180000	Fair	0.00	0.30		NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	1180000	3310	201000	5.84	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	73	2008-04-10 10:31:00	CDT	Yes	KLG/TEB	USGS	40.86	1230000	Fair	0.00	0.60		NONE	1	Imported Channel 1	MBOT	QADCP	VADCP	1230000	3390		6.06	SOFT	silt	EVEN	unkn	UNEV	UNSP	UPST	500.00
USGS	07374000	74	2008-04-11 14:26:00	CDT	Yes	TEB/SMP	USGS	41.47	1220000	Good	0.00	1.10	Unspecifed	NONE	1	Imported Channel 1	MBOT	QADCP	VADCP	1220000	3540		5.73	SOFT	silt	EVEN	unkn	UNEV	UNSP	UPST	500.00
USGS	07374000	75	2008-04-14 14:51:08	CDT	Yes	TEB/JRF	USGS	41.99	1240000	Good	0.00	1.30	Unspecifed	NONE	1	Imported Channel 1	MBOT	QADCP	VADCP	1240000	3520		5.89	SOFT	silt	EVEN	unkn	EVEN	UNSP	UPST	500.00
USGS	07374000	76	2008-04-16 12:35:06	CDT	Yes	TEB/PAE	USGS	42.34	1260000	Good	0.00	2.70	Unspecifed	NONE	1	Imported Channel 1	MBOT	QADCP	VADCP	1260000	3550		5.97	SOFT	silt	EVEN	unkn	UNEV	UNSP	UPST	500.00
USGS	07374000	77	2008-04-21 12:52:06	CDT	Yes	CPF/SMP	USGS	43.31	1310000	Fair	0.00	0.60	Unspecifed	NONE	1	Imported Channel 1	MBOT	QADCP	VADCP	1310000	3560		6.06	SOFT	silt	EVEN	unkn	UNEV	UNSP	UPST	500.00
USGS	07374000	78	2008-04-24 10:48:04	CDT	Yes	TEB/KJG	USGS	43.38	1340000	Good	0.00	1.00	Unspecifed	NONE	1	Imported Channel 1	MBOT	QADCP	VADCP	1340000	3550		6.32	SOFT	silt	EVEN	unkn	UNEV	UNSP	UPST	500.00
USGS	07374000	79	2008-05-05 12:44:00	CDT	Yes	CPF/MLD	USGS	40.78	1160000	Good	0.00	0.60	Unspecifed	NONE	1	Imported Channel 1	MBOT	QADCP	VADCP	1160000	3460		5.76	SOFT	silt	EVEN	unkn	UNEV	UNSP	UPST	500.00
USGS	07374000	80	2008-05-14 12:34:06	CDT	Yes	TEB/KJG	USGS	35.86	956000	Poor	0.00	0.70	Unspecifed	NONE	1	Imported Channel 1	MBOT	QADCP	VADCP	956000	3500		5.22	SOFT	silt	EVEN	unkn	UNEV	UNSP	UPST	500.00
USGS	07374000	81	2008-05-21 10:58:06	CDT	Yes	TEB/PAE	USGS	34.67	942000	Good	0.00	0.70	Unspecifed	NONE	1	Imported Channel 1	MBOT	QADCP	VADCP	942000	4090		5.04	SOFT	silt	EVEN	unkn	UNEV	UNSP	UPST	500.00
USGS	07374000	82	2008-05-27 13:28:04	CDT	Yes	CPF/SMP	USGS	34.20	926000	Good	0.00	0.70	Unspecifed	NONE	1	Imported Channel 1	MBOT	QADCP	VADCP	926000	3480		5.03	SOFT	silt	EVEN	unkn	UNEV	UNSP	UPST	500.00
USGS	07374000	83	2008-06-09 14:21:00	CDT	Yes	CPF/MLD	USGS	30.72	755000	Good	0.00	0.60	Unspecifed	NONE	1	Imported Channel 1	MBOT	QADCP	VADCP	755000	3230		4.61	SOFT	silt	EVEN	unkn	UNEV	UNSP	UPST	500.00
USGS	07374000	84	2008-06-23 14:19:04	CDT	Yes	CPF/MLD	USGS	30.57	744000	Good	0.00	0.50	Unspecifed	NONE	1	Imported Channel 1	MBOT	QADCP	VADCP	744000	3220		4.55	SOFT	silt	EVEN	unkn	UNEV	UNSP	UPST	500.00
USGS	07374000	85	2008-07-08 14:14:04	CDT	Yes	CPF/RC	USGS	30.28	741000	Fair	0.00	0.60	Unspecifed	NONE	1	Imported Channel 1	MBOT	QADCP	VADCP	741000	3260		4.38	SOFT	silt	EVEN	unkn	UNEV	UNSP	UPST	500.00
USGS	07374000	86	2008-08-18 14:00:00	CDT	Yes	CPF/MLD	USGS	16.92	434000	Fair	0.00	0.50	Unspecifed	NONE	1	Imported Channel 1	MBOT	QADCP	VADCP	434000	3090		3.71	SOFT	silt	EVEN	unkn	UNEV	UNSP	UPST	500.00
USGS	07374000	87	2008-08-20 10:32:04	CDT	Yes	TEB/SMP	USGS	15.42	400000	Good	0.00	0.70	Unspecifed	NONE	1	Imported Channel 1	MBOT	QADCP	VADCP	400000	3110		3.40	SOFT	silt	EVEN	unkn	UNEV	UNSP	UPST	500.00
USGS	07374000	88	2008-10-20 14:52:00	CDT	Yes	CPF/MLD	USGS	9.75	288000	Fair	0.00	0.50	Unspecifed	NONE	1	Imported Channel 1	MBOT	QADCP	VADCP	288000	3030	101000	2.86	SOFT	silt	EVEN	unkn	UNEV	UNSP	UPST	500.00
USGS	07374000	89	2008-11-17 14:51:00	CST	Yes	CPF/CGS	USGS	7.44	229000	Fair	0.00	0.60	Unspecifed	NONE	1	Imported Channel 1	MBOT	QADCP	VADCP	229000	3050	92900	2.47	SOFT	silt	EVEN	unkn	UNEV	UNSP	UPST	5280.00
USGS	07374000	90	2008-12-09 08:58:00	CST	Yes	PF/MD/CS	USGS	7.02	219000	Fair	0.04	0.60		NONE	1	Imported Channel 1	MBOT	QADCP	VADCP	219000	2990	91300	2.40	SOFT	silt	UNEV	unkn	UNSP	UNSP	UPST	500.00
USGS	07374000	91	2009-01-19 13:54:30	CST	Yes	CPF/MLD	USGS	24.48	632000	Fair	0.02	0.70	Unspecifed	NONE	1	Imported Channel 1	MBOT	QADCP	VADCP	632000	3160	147000	4.31	SOFT	SAND	EVEN	unkn	UNSP	UNSP	UPST	500.00
USGS	07374000	92	2009-02-03 13:28:00	CST	Yes	PF/MD/CS	USGS	14.16	376000	Good	0.04	0.70		NONE	1	Imported Channel 1	MBOT	QADCP	VADCP	376000	3030	115000	3.27	SOFT	silt	EVEN	unkn	UNSP	UNSP	UPST	500.00
USGS	07374000	93	2009-02-16 09:48:00	CST	Yes	PF/MD/CS	USGS	18.42	474000	Fair	0.01	0.60		NONE	1	Imported Channel 1	MBOT	QADCP	VADCP	474000	3090	129000	3.68	SOFT	SAND	EVEN	unkn	UNSP	UNSP	UPST	500.00
USGS	07374000	94	2009-03-02 13:40:00	CST	Yes	PF/MD/CS	USGS	23.28	595000	Good	0.20	0.70		NONE	1	Imported Channel 1	MBOT	QADCP	VADCP	595000	3130	143000	4.17	SOFT	SAND	EVEN	unkn	UNSP	UNSP	UPST	500.00
USGS	07374000	95	2009-03-17 10:49:00	CDT	Yes	PF/MD/CS	USGS	20.62	521000	Good	0.02	0.70	Unspecifed	NONE	1	Imported Channel 1	MBOT	QADCP	VADCP	521000	3100	135000	3.86	SOFT	SAND	EVEN	unkn	UNSP	UNSP	UPST	500.00
USGS	07374000	96	2009-04-23 13:16:00	CDT	Yes	MLD/LBS	USGS	30.39	812000	Fair	0.02	0.50	Unspecifed	NONE	1	Imported Channel 1	MBOT	QADCP	VADCP	812000	3230	168000	4.85	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UPST	500.00
